Accession,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MT800794,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC299a,29800,complete,India: Vadodara,Homo sapiens,,"Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800816,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.247,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC299b,29800,complete,India: Vadodara,Homo sapiens,,"Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800818,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC300a,29800,complete,India: Vadodara,Homo sapiens,,"Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800820,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC300b,29800,complete,India: Vadodara,Homo sapiens,,"Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800845,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC301a,29800,complete,India: Vadodara,Homo sapiens,,"Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800873,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC301b,29800,complete,India: Vadodara,Homo sapiens,,"Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800896,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC302a,29771,complete,India: Vadodara,Homo sapiens,,"Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800928,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.247,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC302b,29771,complete,India: Vadodara,Homo sapiens,,"Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800936,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC303a,29796,complete,India: Vadodara,Homo sapiens,,"Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800940,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.247,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC303b,29796,complete,India: Vadodara,Homo sapiens,,"Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800942,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC304a,29800,complete,India: Vadodara,Homo sapiens,,"Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800977,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.247,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC304b,29800,complete,India: Vadodara,Homo sapiens,,"Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800995,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC305b,29796,complete,India: Vadodara,Homo sapiens,,"Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800997,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC309b,29800,complete,India: Vadodara,Homo sapiens,,"Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT800999,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC306a,29800,complete,India: Vadodara,Homo sapiens,,"Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT801004,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36.8,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC306b,29800,complete,India: Vadodara,Homo sapiens,,"Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT801006,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC309a,29800,complete,India: Vadodara,Homo sapiens,,"Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT801043,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC308,29800,complete,India: Vadodara,Homo sapiens,,"Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT801048,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.247,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC307b,29796,complete,India: Vadodara,Homo sapiens,,"Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT801051,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC307a,29796,complete,India: Vadodara,Homo sapiens,,"Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-15,2020-07-27,ssRNA(+)
MT758193,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC240,29800,complete,India: Vadodara,Homo sapiens,,"Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-05,2020-07-15,ssRNA(+)
MT740438,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC241,29800,complete,India: Vadodara,Homo sapiens,,"Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-07-10,ssRNA(+)
MT675933,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC222a,29796,complete,India: Vadodara,Homo sapiens,,"Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-29,ssRNA(+)
MT675937,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC223a,29762,complete,India: Vadodara,Homo sapiens,,"Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-29,ssRNA(+)
MT675938,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC224a,29762,complete,India: Vadodara,Homo sapiens,,"Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-29,ssRNA(+)
MT675939,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC222b,29796,complete,India: Vadodara,Homo sapiens,,"Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-29,ssRNA(+)
MT675940,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC223b,29762,complete,India: Vadodara,Homo sapiens,,"Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-29,ssRNA(+)
MT675941,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC224b,29762,complete,India: Vadodara,Homo sapiens,,"Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Ansari,A., Trivedi,N., Shah,M., Doshi,N., Godbole,V., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-29,ssRNA(+)
MT676389,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC187a,29800,complete,India: Vadodara,Homo sapiens,,"Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Doshi,N., Godbole,V., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Nathani,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-05,2020-06-29,ssRNA(+)
MT676397,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC189,29800,complete,India: Vadodara,Homo sapiens,,"Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Doshi,N., Godbole,V., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Sharma,P., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-02,2020-06-29,ssRNA(+)
MT664796,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC216a,29762,complete,India: Vadodara,Homo sapiens,,"Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Doshi,N., Godbole,V., Sabara,P., Puvar,A., Raval,J., Patel,Z., Patel,F., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-25,ssRNA(+)
MT664822,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC216b,29762,complete,India: Vadodara,Homo sapiens,,"Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Doshi,N., Godbole,V., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Nathani,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-25,ssRNA(+)
MT664986,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC217a,29796,complete,India: Vadodara,Homo sapiens,,"Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Doshi,N., Godbole,V., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Chaudhari,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-25,ssRNA(+)
MT664990,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC217b,29796,complete,India: Vadodara,Homo sapiens,,"Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Doshi,N., Godbole,V., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Jindal,B., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-25,ssRNA(+)
MT665006,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC218a,29762,complete,India: Vadodara,Homo sapiens,,"Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Doshi,N., Godbole,V., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Vatsa,P.P., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-25,ssRNA(+)
MT665028,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.113,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC218b,29762,complete,India: Vadodara,Homo sapiens,,"Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Doshi,N., Godbole,V., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Doshi,P.P., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-08,2020-06-25,ssRNA(+)
MT607615,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.210,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC175,29800,complete,India: Vadodara,Homo sapiens,,"Shah,M., Doshi,N., Godbole,V., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Chaudhari,A., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-05,2020-06-15,ssRNA(+)
MT607618,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC176,29800,complete,India: Vadodara,Homo sapiens,,"Doshi,N., Godbole,V., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Shah,M., Jindal,B., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-06-05,2020-06-15,ssRNA(+)
MT576035,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC151a,29800,complete,India: Vadodara,Homo sapiens,,"Patel,F., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Javadekar,T., Daveshwar,R.N., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-05-02,2020-06-08,ssRNA(+)
MT576037,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC151b,29800,complete,India: Vadodara,Homo sapiens,,"Nathani,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Javadekar,T., Daveshwar,R.N., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-05-02,2020-06-08,ssRNA(+)
MT576039,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC152,29800,complete,India: Vadodara,Homo sapiens,,"Chaudhari,A., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Javadekar,T., Daveshwar,R.N., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Patel,N., Savaliya,N., Dixit,R.D., Kadri,A.M., Bakshi,H., Joshi,C., Joshi,M.",2020-05-02,2020-06-08,ssRNA(+)
MT539164,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC124,29800,complete,India: Vadodara,Homo sapiens,,"Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Javadekar,T., Daveshwar,R.N., Pandit,R., Shah,T., Chakraborty,C., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Mishra,U., Joshi,C., Joshi,M.",2020-05-02,2020-05-30,ssRNA(+)
MT539165,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC125,29800,complete,India: Vadodara,Homo sapiens,,"Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Javadekar,T., Daveshwar,R.N., Pandit,R., Shah,T., Hinsu,A., Kumar,S., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Mishra,U., Joshi,C., Joshi,M.",2020-05-02,2020-05-30,ssRNA(+)
MT539166,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.143,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC121,29800,complete,India: Vadodara,Homo sapiens,,"Daveshwar,R.N., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Javadekar,T., Nathani,N., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Mishra,U., Joshi,C., Joshi,M.",2020-05-02,2020-05-30,ssRNA(+)
MT539167,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC126,29800,complete,India: Vadodara,Homo sapiens,,"Puvar,A., Raval,J., Patel,Z., Gandhi,M., Trivedi,P., Pandya,M., Kanani,A., Patel,N., Savaliya,N., Kumar,R., Kumar,D., Saiyed,Z., Patel,K., Pandya,L., Bagatharia,S., Javadekar,T., Daveshwar,R.N., Pandit,R., Shah,T., Hinsu,A., Sabara,P., Vatsa,P.P., Modi,B., Shrimali,G., Dixit,R.D., Kadri,A.M., Mishra,U., Joshi,C., Joshi,M.",2020-05-02,2020-05-30,ssRNA(+)
